"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"SPINK1","SPINK1","-6.49762107416801","8.587497100612279e-12","1.65317906683887e-07"
"METTL7A","METTL7A","3.9277969933131898","3.5385976215468604e-11","3.40607714061993e-07"
"UHRF1","UHRF1","3.33879081846624","6.617404188547171e-11","4.2463882677907205e-07"
"DTL","DTL","3.78131108810305","1.1069923972045e-10","4.88255286812731e-07"
"TRIP13","TRIP13","3.3472167939805497","1.62415666318479e-10","4.88255286812731e-07"
"KNL1","KNL1","3.49248646346873","1.88626288750441e-10","4.88255286812731e-07"
"PRC1","PRC1","2.92694085508336","2.06240379623142e-10","4.88255286812731e-07"
"GINS2","GINS2","3.08357048039374","2.13360108314898e-10","4.88255286812731e-07"
"DEPDC1","DEPDC1","3.9447366773132795","2.6431971826703e-10","4.88255286812731e-07"
"KIF11","KIF11","2.806006906792","2.7080516290240504e-10","4.88255286812731e-07"
"CDC45","CDC45","2.8963421382686003","2.86416884674787e-10","4.88255286812731e-07"
"POLQ","POLQ","3.328148229429","3.27533945408393e-10","4.88255286812731e-07"
"CTPS1","CTPS1","2.83578531496796","3.2971371505716604e-10","4.88255286812731e-07"
"ASPM","ASPM","3.56071692966283","3.649050304457e-10","4.94033267823942e-07"
"FAM83B","FAM83B","-2.92766738197723","3.85546918536369e-10","4.94033267823942e-07"
"GINS1","GINS1","2.7066803302947005","4.10603723712175e-10","4.94033267823942e-07"
"TTF2","TTF2","2.7826428085915498","4.51312508192253e-10","5.110715938358279e-07"
"H4C15","H4C15","-2.52489780381311","5.24446738336182e-10","5.341842321610929e-07"
"MCM10","MCM10","3.4430263021980094","5.27219386580478e-10","5.341842321610929e-07"
"UPP1","UPP1","-2.4626570479479","5.84733942874614e-10","5.628356567139599e-07"
"MIR22HG","MIR22HG","-4.3917372563926","6.42749125214993e-10","5.89217305214945e-07"
"H4C8","H4C8","-3.3269541267942597","6.89310908934644e-10","6.031783776318561e-07"
"TYMS","TYMS","2.63147272665692","7.44694853394444e-10","6.233095922911489e-07"
"ESPL1","ESPL1","2.6265362515521096","7.941854927897489e-10","6.29020624117594e-07"
"CDC6","CDC6","2.7334884931990295","8.16867466777822e-10","6.29020624117594e-07"
"TIAM1","TIAM1","2.70619539104375","8.95509192703829e-10","6.6305567187467e-07"
"CLEC2B","CLEC2B","-3.04761753015249","9.70953061494052e-10","6.92289532845259e-07"
"DIAPH3","DIAPH3","3.49632813113873","1.0717081387131098e-09","7.1739942090898e-07"
"RAD51","RAD51","2.8665186393170696","1.0915190839517801e-09","7.1739942090898e-07"
"DEPDC1B","DEPDC1B","2.36998789354484","1.1590098822943302e-09","7.1739942090898e-07"
"RAD54B","RAD54B","2.75721941534656","1.2749267129728901e-09","7.1739942090898e-07"
"TOP2A","TOP2A","2.94701258362127","1.30714070430869e-09","7.1739942090898e-07"
"CIP2A","CIP2A","2.61263717836701","1.3091237806842901e-09","7.1739942090898e-07"
"ESCO2","ESCO2","2.47508859935739","1.34451270404138e-09","7.1739942090898e-07"
"PFAS","PFAS","2.9820601581122594","1.45725069764861e-09","7.1739942090898e-07"
"HJURP","HJURP","2.28717079036411","1.46033144289388e-09","7.1739942090898e-07"
"TIMELESS","TIMELESS","2.18508460086397","1.46974168227729e-09","7.1739942090898e-07"
"SOCS1","SOCS1","-2.31960214317456","1.52650349164911e-09","7.1739942090898e-07"
"RFC5","RFC5","2.2179354316480295","1.52700391396581e-09","7.1739942090898e-07"
"TRIM14","TRIM14","2.63579564819985","1.5471102119754599e-09","7.1739942090898e-07"
"BUB1B","BUB1B","2.78837725267543","1.5660431429113e-09","7.1739942090898e-07"
"CEP72","CEP72","2.21196670493234","1.6370943866614801e-09","7.1739942090898e-07"
"ABHD5","ABHD5","-2.27155591909082","1.6571040249404401e-09","7.1739942090898e-07"
"FOSL2","FOSL2","-2.22303701912524","1.67390823011906e-09","7.1739942090898e-07"
"CLSPN","CLSPN","2.6185722687026702","1.72953875206831e-09","7.1739942090898e-07"
"SHCBP1","SHCBP1","2.41216706312388","1.7490875804708202e-09","7.1739942090898e-07"
"PARPBP","PARPBP","2.3664627580069704","1.75148162603096e-09","7.1739942090898e-07"
"PIMREG","PIMREG","2.30292746486533","1.8047886212017898e-09","7.238330363907421e-07"
"FBXO32","FBXO32","-2.7123628412528697","1.8614674828862198e-09","7.31328785980462e-07"
"DLGAP5","DLGAP5","2.54062219305957","2.03567629780747e-09","7.76491750976808e-07"
"MKI67","MKI67","2.21373313276983","2.05709206274049e-09","7.76491750976808e-07"
"SHPK","SHPK","2.1248582707076697","2.1421117800929398e-09","7.819999769589851e-07"
"H4C12","H4C12","-2.50401097926489","2.1529270572347498e-09","7.819999769589851e-07"
"AURKB","AURKB","2.1420980169785904","2.2878143031838503e-09","7.961965960556941e-07"
"CDC7","CDC7","2.1398524230142097","2.3156911562382395e-09","7.961965960556941e-07"
"NEMP1","NEMP1","2.4957950848696004","2.31608796317692e-09","7.961965960556941e-07"
"ZNF367","ZNF367","2.86022517932437","2.43510663715672e-09","7.97696029905547e-07"
"NSMCE4A","NSMCE4A","2.16899902574307","2.4430272812378103e-09","7.97696029905547e-07"
"RAD54L","RAD54L","3.07717390138143","2.4455391217089804e-09","7.97696029905547e-07"
"BRCA1","BRCA1","3.1422167645680803","2.4861961349713198e-09","7.97696029905547e-07"
"RUVBL1","RUVBL1","2.65717587483188","2.58390415941312e-09","8.15454737260031e-07"
"ASF1B","ASF1B","2.40638610500504","2.66269886242059e-09","8.267679967815941e-07"
"KIF2C","KIF2C","2.32942465379495","2.7218762748841502e-09","8.279635354585309e-07"
"HBEGF","HBEGF","-2.9429260144903098","2.7881364447800705e-09","8.279635354585309e-07"
"DNMT1","DNMT1","2.09812870649201","2.79557580410392e-09","8.279635354585309e-07"
"ZNF425","ZNF425","-2.73016861833009","2.89338146938531e-09","8.387003725909341e-07"
"MAF","MAF","-2.67998842570975","2.9189613507658096e-09","8.387003725909341e-07"
"HELLS","HELLS","2.86599184187791","3.0756835142291995e-09","8.451746940344141e-07"
"KIF14","KIF14","3.8640673333626903","3.0998799844815696e-09","8.451746940344141e-07"
"KHDRBS3","KHDRBS3","-2.6987155818493096","3.11698611382261e-09","8.451746940344141e-07"
"MTHFD1","MTHFD1","2.0827031974956","3.13449079314692e-09","8.451746940344141e-07"
"ZWINT","ZWINT","2.266185942466","3.1869389442183502e-09","8.451746940344141e-07"
"TMTC4","TMTC4","2.49404953113279","3.20491157158133e-09","8.451746940344141e-07"
"SLC39A10","SLC39A10","2.4465314194183","3.39732202263814e-09","8.81481495593385e-07"
"BHLHE41","BHLHE41","-3.34815302989217","3.4779699256186e-09","8.81481495593385e-07"
"ANKRD12","ANKRD12","-1.95898042492715","3.52164321371577e-09","8.81481495593385e-07"
"DNAJB9","DNAJB9","-2.21651494856052","3.58311533079396e-09","8.81481495593385e-07"
"CENPA","CENPA","2.11786994858313","3.59942236219517e-09","8.81481495593385e-07"
"KIF4B","KIF4B","2.07923380070535","3.6173205626657e-09","8.81481495593385e-07"
"CCDC183","CCDC183","3.28624588454336","3.8309167228512305e-09","9.1189679940819e-07"
"SPAG5","SPAG5","2.16301313947032","3.8813123660561204e-09","9.1189679940819e-07"
"OLFML3","OLFML3","2.71958152828783","3.88424173037616e-09","9.1189679940819e-07"
