"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"POSTN","POSTN","-5.755556415694421","1.33236655697078e-15","1.6416088348437e-11"
"FN1","FN1","-2.61047119409888","3.04733840829883e-10","1.87731282643249e-06"
"CXADR","CXADR","1.1925328643148","1.21253182348128e-09","4.979868199037629e-06"
"FXYD3","FXYD3","1.76920898032125","3.6145363222024895e-09","1.1133675506464199e-05"
"SULF1","SULF1","-1.32396064072806","8.935061775075419e-09","2.2017779226140802e-05"
"GADD45B","GADD45B","-1.03261367520714","1.77978405869685e-08","3.65478656453399e-05"
"COL6A1","COL6A1","-1.05405975167575","3.47308855551793e-08","6.11313201321949e-05"
"CD24","CD24","-2.18553493422843","4.4910466630019294e-08","6.91677324185584e-05"
"MMP28","MMP28","0.783247713076477","5.867126306819299e-08","7.39827081012808e-05"
"PALMD","PALMD","0.8885456501614579","6.57310611422647e-08","7.39827081012808e-05"
"CADM3","CADM3","-1.7748167137777502","6.60506281238608e-08","7.39827081012808e-05"
"EMP3","EMP3","-0.619527863764668","8.2457832912632e-08","8.466357994304491e-05"
"COL4A2","COL4A2","-1.33022340906308","9.476761420230721e-08","8.98178288143559e-05"
"ST6GALNAC2","ST6GALNAC2","1.19286497476003","1.51935950326037e-07","0.000133714488854793"
"WNT5A","WNT5A","-1.66485248418459","1.70904437875117e-07","0.000140380905270621"
"FBLN5","FBLN5","-1.1939718023722499","1.9874295779934001e-07","0.000153044498940354"
"COBL","COBL","0.839997192352701","2.51747840889249e-07","0.00018245794985861398"
"FPR1","FPR1","-2.70410360221062","3.24895327543299e-07","0.00022239085170338798"
"VCAN","VCAN","-1.18355594104347","3.83942553916971e-07","0.00024897664246373703"
"SERPINE2","SERPINE2","-1.17039301435798","4.40290879488731e-07","0.000270287597559451"
"S100A14","S100A14","0.617972170905093","4.869445259967871e-07","0.000270287597559451"
"TSPAN1","TSPAN1","0.8479426802571041","4.91020731622969e-07","0.000270287597559451"
"GNG11","GNG11","-0.902390887639287","5.04554398495851e-07","0.000270287597559451"
"CA2","CA2","2.31298266464512","6.06498182959808e-07","0.000311361004676991"
"FTL","FTL","-0.546260189535932","6.872266356633951e-07","0.000338692775120348"
"TGFBI","TGFBI","-0.7274389918233091","7.47065598706397e-07","0.000354022893910058"
"CDH1","CDH1","0.7905384810069509","8.184442905354869e-07","0.00037348341124769397"
"CDH3","CDH3","0.627236419712155","1.39628298584123e-06","0.0006144143810196361"
"ANPEP","ANPEP","-0.768703789969509","1.88997684224691e-06","0.000802979471493936"
"ZEB1","ZEB1","-0.70437365763094","2.11969819901932e-06","0.000870560050337235"
"CDH2","CDH2","-0.6735339307398559","2.26914082305581e-06","0.0009018736800280849"
"IRF9","IRF9","-0.908330778097178","3.40759813716077e-06","0.0013120317702486801"
"COL4A1","COL4A1","-0.9998462667269391","3.98419688552774e-06","0.0014875542371693099"
"DCLK1","DCLK1","0.769353790033166","4.30981637194087e-06","0.00156180139760834"
"PLSCR1","PLSCR1","-0.5818962933471179","4.64395416605335e-06","0.0016041921461185699"
"EPCAM","EPCAM","1.4230182709941899","4.89868306494734e-06","0.0016041921461185699"
"IRS1","IRS1","0.83951828793742","5.01770671442762e-06","0.0016041921461185699"
"AKR1C1","AKR1C1","0.617104710281843","5.061870913879531e-06","0.0016041921461185699"
"BICC1","BICC1","-0.8144645196421508","5.07779349879265e-06","0.0016041921461185699"
"FAP","FAP","-1.36202066478495","5.74582446766705e-06","0.0017698575816531398"
"INHBE","INHBE","-0.7279796534095619","7.39865082037579e-06","0.00222338479897195"
"SNCA","SNCA","0.8677734123870151","1.1255891362636301e-05","0.00330199613045337"
"ABLIM1","ABLIM1","0.562018935938168","1.17335635058498e-05","0.00330475270743195"
"CCNL2","CCNL2","-0.813006099958084","1.18017303081735e-05","0.00330475270743195"
"HILPDA","HILPDA","-0.519359784496198","1.4826083795289902e-05","0.00405938174315036"
"TIMM13","TIMM13","-0.36271484859860703","1.56949693795924e-05","0.00420386342882517"
"DCN","DCN","-1.0431517828906","1.8015234103628897e-05","0.00472267445512364"
"RETREG1","RETREG1","0.5866436676165171","1.9327106557424102e-05","0.00496102666445881"
"P3H2","P3H2","0.8251595145350792","2.0489201324820103e-05","0.00501667712931023"
"FSTL1","FSTL1","-1.1651151310731","2.05169540654275e-05","0.00501667712931023"
"FBN1","FBN1","-0.8846403576819879","2.0765403262301897e-05","0.00501667712931023"
"CD9","CD9","0.783968408136017","2.21774530520291e-05","0.00525477690488558"
"AKR1C2","AKR1C2","0.58181199110062","2.35665233352029e-05","0.005406597891752379"
"MLF1","MLF1","-0.486189216605808","2.3695827136971697e-05","0.005406597891752379"
"SRPX","SRPX","-1.33537066641576","2.4631403924557198e-05","0.00551788232280853"
"PLAT","PLAT","1.5771320293083502","3.25766749266029e-05","0.0071674502101906"
"SNED1","SNED1","-0.944313425346872","3.40656162929869e-05","0.00736355190080512"
"MCC","MCC","0.604520033473487","3.6656128467605e-05","0.00771439684096395"
"MEAF6","MEAF6","0.43193924919980603","3.69409474569331e-05","0.00771439684096395"
"MLPH","MLPH","-0.692044787424315","3.77508569533956e-05","0.007752138475379791"
"PSTPIP2","PSTPIP2","0.47510026901021296","4.1882189470040504e-05","0.00826079854428051"
"LSR","LSR","0.44219389874458603","4.23280409198546e-05","0.00826079854428051"
"TGFB1I1","TGFB1I1","-0.48381014094343","4.2430535983869e-05","0.00826079854428051"
"FXYD5","FXYD5","-0.504346012020866","4.3479854684413705e-05","0.00826079854428051"
"SLC39A8","SLC39A8","-0.5687767300712171","4.3580221197811295e-05","0.00826079854428051"
"CDKN3","CDKN3","0.520805897251055","4.45887462254019e-05","0.00832390821580571"
"CLIC2","CLIC2","-0.6720573252948899","5.08700132236185e-05","0.00922791465643238"
"HRAS","HRAS","0.3873354254187229","5.09291613211104e-05","0.00922791465643238"
"GOLGA8A","GOLGA8A","-0.8863625795267249","5.508467413510699e-05","0.00983620681186455"
"ADORA2B","ADORA2B","0.812303774955542","5.6880456029479e-05","0.0100117728391316"
"WIPF1","WIPF1","-0.876798586125324","6.43252462373406e-05","0.0111626951956376"
"ENOSF1","ENOSF1","-0.405812566965034","7.12499713870819e-05","0.0120077751719367"
"TP63","TP63","0.694008305891197","7.13969188239535e-05","0.0120077751719367"
"CLDN1","CLDN1","0.8052439245329259","7.211876980142149e-05","0.0120077751719367"
"FYN","FYN","-0.948087857241437","7.61387135141715e-05","0.0123757579375286"
"SPINT1","SPINT1","0.562847884756406","7.633776505577241e-05","0.0123757579375286"
"SPARC","SPARC","-1.12342010546549","8.13233773466447e-05","0.0130127965232209"
"IFNGR1","IFNGR1","0.522145342058671","8.25072158419309e-05","0.0130329667485696"
"PLS1","PLS1","0.683764305254319","8.800699540838721e-05","0.0137257492459081"
"SFN","SFN","0.363373529655577","9.47239329742763e-05","0.0145886697272007"
"PTPRM","PTPRM","-0.6510940599079971","9.64359889713559e-05","0.0146034800935664"
"CDK4","CDK4","-0.37439903204983704","9.71905987884463e-05","0.0146034800935664"
"MARCKSL1","MARCKSL1","-0.571738833673922","9.88770399299119e-05","0.0146778796262222"
"PCSK1","PCSK1","0.8603199904728629","0.00010128527968212","0.0148563801305167"
"IGFBP2","IGFBP2","0.7124879755815681","0.000110903559593847","0.0160338669378455"
"TCEA2","TCEA2","-0.4448336655243","0.000113957294827905","0.0160338669378455"
"UROS","UROS","-0.403340363961924","0.000114455374371101","0.0160338669378455"
"KCNN4","KCNN4","0.47455848474687895","0.000115694262123197","0.0160338669378455"
"ZDHHC3","ZDHHC3","0.45307556891204603","0.00011581967027581","0.0160338669378455"
"IGFBP7","IGFBP7","-1.22609275423921","0.00011818102896521499","0.016178982865338"
"DSC2","DSC2","0.7080148957947471","0.000134161817327327","0.0181649203438461"
"PDGFRL","PDGFRL","-0.753791965699109","0.000136083684238457","0.0182248594945873"
"MFSD6","MFSD6","0.42707633480437","0.000140808983247704","0.0186549191676877"
"HSPA4L","HSPA4L","0.47166548969992494","0.000143522109470151","0.0188120841572524"
"GBP1","GBP1","0.629352466090212","0.000148859273049926","0.0193062642447172"
"MAP7","MAP7","0.555741747282864","0.00015234280927029598","0.0195522474272846"
"BAG3","BAG3","0.397757979429677","0.000166468969863782","0.0211449915225944"
"ACAA2","ACAA2","0.30606073180277504","0.00018353871932838702","0.0230753118453578"
"PTGFR","PTGFR","-0.983201065312583","0.000188093491849125","0.0232091935585912"
"CTGF","CTGF","-0.6227296049577571","0.00018837102149656102","0.0232091935585912"
"ITGA10","ITGA10","-1.58019966825877","0.000198564753919119","0.0240316316153789"
"IRF6","IRF6","0.646149912733772","0.000199448239207925","0.0240316316153789"
"GPC1","GPC1","0.560075523785201","0.000202541657422314","0.0240316316153789"
"SOX15","SOX15","0.417127303745621","0.000202847957795586","0.0240316316153789"
"LAGE3","LAGE3","-0.447667854190064","0.000216794649200921","0.0252167488092968"
"DKK1","DKK1","-1.8116164530391399","0.000218577667952226","0.0252167488092968"
"EEF1A2","EEF1A2","-0.840028865210554","0.000220194610254017","0.0252167488092968"
"SF3B2","SF3B2","0.324720988066584","0.00022103797349274","0.0252167488092968"
"CORO1C","CORO1C","0.41144445492829396","0.00022583158813290098","0.0255272568567475"
"DNPH1","DNPH1","-0.39733570987195","0.000234850318343554","0.026305370657372"
"SPATS2L","SPATS2L","0.257801378343888","0.000237497856863742","0.0263622621118754"
"LRP5","LRP5","0.429880478755519","0.000247986291693797","0.0270052479627931"
"PRR16","PRR16","-0.659662817294671","0.000248168626623195","0.0270052479627931"
"CLIC3","CLIC3","-0.9676528871940671","0.000249865941705902","0.0270052479627931"
"RPS6KA2","RPS6KA2","-0.37754503455248795","0.000253288717970222","0.0271115894420721"
"SCCPDH","SCCPDH","-0.413731004268049","0.000255250740628225","0.0271115894420721"
"GALNT3","GALNT3","0.400596474101317","0.000264733731617901","0.0277454406766661"
"ZCCHC2","ZCCHC2","0.562433163588667","0.000265722100466407","0.0277454406766661"
"MBD2","MBD2","0.322301734990699","0.000269694020342058","0.0279235296187773"
"PIR","PIR","0.506400323109013","0.00028100026240783797","0.0288301274953007"
"DHX8","DHX8","0.332413035589903","0.000283130056564515","0.0288301274953007"
"EMP1","EMP1","0.50226706224908","0.00028798748791492403","0.0290843757262277"
"IRX5","IRX5","0.7815558429905799","0.000303022348934146","0.0303539704164034"
"GSTA4","GSTA4","0.590972190707442","0.00031277305024541603","0.0310780383231756"
"SH3BP5","SH3BP5","0.48175192613795503","0.000317472720130801","0.0310799314952175"
"FSTL3","FSTL3","-0.30332698159043","0.000317837137277608","0.0310799314952175"
"JUP","JUP","0.518060596773356","0.000324784554140644","0.0315092164690306"
"MYH9","MYH9","0.503698664521055","0.00032813141712121003","0.0315852124246127"
"MPZL2","MPZL2","0.565237823890063","0.000340414290096062","0.0325135230098727"
"PARP2","PARP2","-0.32181700423453397","0.000345540992355904","0.0326629423605949"
"CDS1","CDS1","0.502121022297732","0.00034728069549857404","0.0326629423605949"
"ADIRF","ADIRF","0.41408835056988597","0.000365294289517937","0.034096901069322"
"ERCC4","ERCC4","0.49263083659337","0.00036814543280773","0.0341046607340154"
"OLAH","OLAH","-0.519298041578925","0.00037389847974587996","0.034379128126485"
"HTRA1","HTRA1","-0.437119538681253","0.00038849083004974797","0.035456263089207"
"SFTPD","SFTPD","0.44723259309432395","0.00039696667200177596","0.0359634291598079"
"COBLL1","COBLL1","0.5036443887711229","0.000410658109141502","0.0369322522827186"
"PTAFR","PTAFR","0.501949980067129","0.000422809441993907","0.037749529962368994"
"CELSR2","CELSR2","0.516095355446556","0.000426337090750438","0.0377906424110514"
"ESRP1","ESRP1","0.47927390833052597","0.000435599427755707","0.0383358610669862"
"MAP3K5","MAP3K5","0.569486807855935","0.000442063197110465","0.0386287989475038"
