"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"BBX","BBX","0.9004040245768349","1.20467081777954e-21","1.8743473253831898e-17"
"PDK1","PDK1","0.8417670885775079","4.41949087085388e-19","3.43814292298078e-15"
"BNIP3","BNIP3","0.853272504585693","4.1970641483247895e-12","1.4231449684923202e-08"
"SLC2A5","SLC2A5","1.16264536296453","4.23786602599809e-12","1.4231449684923202e-08"
"nan","nan","0.8545773827484229","4.57338186416968e-12","1.4231449684923202e-08"
"HMOX1","HMOX1","-0.8125708106002221","1.14115186798951e-08","2.54519037351284e-05"
"HILPDA","HILPDA","0.938268133278269","1.1450821141840702e-08","2.54519037351284e-05"
"nan","nan","0.929246120725328","2.39514940335866e-08","4.17564001469228e-05"
"RBM3","RBM3","0.5546836511127621","2.41537117631149e-08","4.17564001469228e-05"
"FUT11","FUT11","0.897187829695307","8.96383638317966e-08","0.000139468330285892"
"RDH10","RDH10","0.596832707655384","1.4568509866413e-07","0.000206064950010473"
"CCL22","CCL22","0.764100314567035","2.1879278404104e-07","0.00028368307724121203"
"GRAMD1C","GRAMD1C","1.12112891887222","3.2313872416926497e-07","0.00038674733918073797"
"MOB3A","MOB3A","0.46864874713642607","5.744047031121821e-07","0.000633340219505009"
"PTAFR","PTAFR","0.542599613380368","6.105857248264749e-07","0.000633340219505009"
"FTH1","FTH1","-0.369813344939835","1.01529997622923e-06","0.000987315770634408"
"ENO1","ENO1","0.40650433197004204","1.59620031507746e-06","0.0014608988648406"
"MSC","MSC","-0.46893976949596","2.00616360900591e-06","0.0017341055329179401"
"MPI","MPI","0.549900512144621","2.3762319923428e-06","0.00189962412876178"
"NQO1","NQO1","-0.41351351123446795","2.45028786895653e-06","0.00189962412876178"
"ANKZF1","ANKZF1","0.481902531252163","2.5639248476121496e-06","0.00189962412876178"
"NAV1","NAV1","2.6545800649378597","2.8082911079667597e-06","0.00198610006131158"
"HK2","HK2","0.44170040724862397","3.41629814101501e-06","0.00224045211752398"
"STS","STS","0.59056542346386","3.4559323105967994e-06","0.00224045211752398"
"LINC01749","LINC01749","0.7420492906198171","4.99453207067827e-06","0.00306506562115564"
"PLEKHA2","PLEKHA2","0.455360122102786","5.1219041165914705e-06","0.00306506562115564"
"HSBP1","HSBP1","-0.46771926979484496","5.79590716129124e-06","0.00333994516750113"
"SNORD3A","SNORD3A","-1.6743142311281","6.3976185261661e-06","0.0035550195231649397"
