"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"RNU11","RNU11","-2.5813874416911","1.85945699275479e-32","4.30966347210777e-28"
"MIR4521","MIR4521","3.2755465567366295","3.3037104452784097e-29","3.82850484951089e-25"
"EGR1","EGR1","1.5455132198367398","3.7732201544494e-27","2.91506411732246e-23"
"VLDLR","VLDLR","0.890007215170297","4.723365449410409e-26","2.73683602552463e-22"
"THUMPD3-AS1","THUMPD3-AS1","1.06891880811021","6.6967116826318e-25","3.1041937333671396e-21"
"ATF7IP2","ATF7IP2","1.289540155864","1.3629808814514397e-24","5.26496798156667e-21"
"ATAD3A","ATAD3A","-0.792052077469271","7.6774743223923e-24","2.5420117481440898e-20"
"UNG","UNG","-0.6838827289030219","1.63501413197198e-23","4.73684031708933e-20"
"OFD1","OFD1","0.7234642454281491","2.14813501674436e-23","5.438998783844059e-20"
"ARPP21","ARPP21","1.1811053724618","2.34672251967212e-23","5.438998783844059e-20"
"MBD3","MBD3","-0.6562227234413679","3.2010440679425e-23","6.68769125089371e-20"
"EBLN2","EBLN2","1.4717138019197602","3.56943421364527e-23","6.68769125089371e-20"
"CBX4","CBX4","-0.599933573728866","3.98005959921526e-23","6.68769125089371e-20"
"CEP128","CEP128","1.6189077569080401","4.039680610627429e-23","6.68769125089371e-20"
"ZNF320","ZNF320","0.858855242523546","4.3968057215976296e-23","6.79365108063122e-20"
"MIR590","MIR590","2.0801014058186698","7.06930028852339e-23","1.0240323299194198e-19"
"MIR1256","MIR1256","3.27833615875624","8.084598324274849e-23","1.0811451230027499e-19"
"MIR181B1","MIR181B1","2.6393715706171","8.396519055119108e-23","1.0811451230027499e-19"
"ZGRF1","ZGRF1","1.0741436130392399","1.02716561925632e-22","1.25297987144756e-19"
"ZFP90","ZFP90","0.923919323359254","1.47189898357833e-22","1.70571013711975e-19"
"MAZ","MAZ","-0.8294552642443371","1.67184454377181e-22","1.8451590948094898e-19"
"LINC00426","LINC00426","0.834210557263343","1.82044523452681e-22","1.9178390545739898e-19"
"LINC01347","LINC01347","1.2547390275881698","2.1138459281038298e-22","2.13011335111576e-19"
"RRP9","RRP9","-0.804821674632933","2.58996444467783e-22","2.4752161659089395e-19"
"MRTO4","MRTO4","-0.7606641777730179","2.6699056887312195e-22","2.4752161659089395e-19"
"USP44","USP44","0.952135197752745","3.6253159812379596e-22","3.23169032681355e-19"
"ANP32A-IT1","ANP32A-IT1","1.9643384266976398","4.54733352289037e-22","3.90346478000111e-19"
"ZNF83","ZNF83","0.968887505697245","5.39792561981827e-22","4.46813293180457e-19"
"S100PBP","S100PBP","0.993625925074062","6.64020136952771e-22","5.30689472901875e-19"
"P4HA1","P4HA1","1.9297539370751597","7.28381018142606e-22","5.62722895249706e-19"
"HERC4","HERC4","0.9839483725371909","8.095901337297909e-22","5.731282896137029e-19"
"EPM2AIP1","EPM2AIP1","1.4391141309176103","8.279054268852969e-22","5.731282896137029e-19"
"POLQ","POLQ","1.38927297456719","8.32749844101681e-22","5.731282896137029e-19"
"LOC100190986","LOC100190986","3.2400785116402595","8.407629048999399e-22","5.731282896137029e-19"
"MLLT1","MLLT1","-0.6121276196627479","1.1377619365918199e-21","7.1751943060166e-19"
"MNT","MNT","-0.7983914648591051","1.1501556115638099e-21","7.1751943060166e-19"
"RELCH","RELCH","1.11928576056626","1.1604994515941197e-21","7.1751943060166e-19"
"LINC00999","LINC00999","1.0450786871048001","1.20178493302125e-21","7.1751943060166e-19"
"RSRP1","RSRP1","0.9122770540416999","1.2291208426459697e-21","7.1751943060166e-19"
"RUNX1-IT1","RUNX1-IT1","3.4024504507306097","1.2383301214163399e-21","7.1751943060166e-19"
"NPIPB3","NPIPB3","1.22224562660254","1.7049111837928196e-21","9.637738172382e-19"
"TMEM260","TMEM260","0.636897402244144","1.75401582652969e-21","9.679244002732999e-19"
"PFAS","PFAS","-0.722666158326335","1.8887855697922302e-21","1.01805542211801e-18"
"POLG2","POLG2","1.2559346316486002","2.12976947002488e-21","1.0956112688329699e-18"
"IFRD1","IFRD1","0.7643909866787909","2.14541538376519e-21","1.0956112688329699e-18"
"SYNJ1","SYNJ1","0.877664966980511","2.18242497741171e-21","1.0956112688329699e-18"
"SOS2","SOS2","1.67606555770026","2.22175991867583e-21","1.0956112688329699e-18"
"LINC00265","LINC00265","1.07923266385938","2.2852203576426197e-21","1.10342817143923e-18"
"SOCS4","SOCS4","1.14523867874431","2.4418637356054395e-21","1.1550015469413699e-18"
"ZBTB25","ZBTB25","0.773286594358581","3.12959980415721e-21","1.45069469321903e-18"
"PLEKHO1","PLEKHO1","-0.50458778396996","3.20655257478421e-21","1.45722096128968e-18"
"ZNF598","ZNF598","-0.6514265061715899","3.44243020003035e-21","1.5343308605019899e-18"
"CCDC144B","CCDC144B","1.4406806622739898","3.52225502863984e-21","1.5402887697884099e-18"
"TTC14","TTC14","1.51564886513087","3.65003042741329e-21","1.5666065780770001e-18"
"CAPRIN2","CAPRIN2","1.3225765211771399","4.25762398348236e-21","1.79416274663946e-18"
"ZFP62","ZFP62","0.779300551466773","4.54281931605117e-21","1.88015934443068e-18"
"LINC01226","LINC01226","1.56778500072651","4.7484538435925495e-21","1.93078797777096e-18"
"EPG5","EPG5","0.6662336181555579","4.87615325492717e-21","1.94852765499047e-18"
"BRWD3","BRWD3","1.16617664011396","5.336196484379339e-21","2.0962207782789798e-18"
"VPS4A","VPS4A","-0.7168111699946981","6.0543666973065794e-21","2.33870094905791e-18"
"INSIG2","INSIG2","0.899811507166183","6.2716192873814206e-21","2.38290688891212e-18"
"WDR46","WDR46","-0.638311689536208","6.7744728327155e-21","2.53245091683625e-18"
"ZNF814","ZNF814","0.84103361630216","7.58715224830936e-21","2.7912290104613598e-18"
"ANKRD52","ANKRD52","-0.7477416172619741","8.82389630438107e-21","3.19549132260375e-18"
"TSEN54","TSEN54","-0.6545648687847281","9.94921097917265e-21","3.5475825056043795e-18"
"DUXAP10","DUXAP10","2.33359991334087","1.12565959580444e-20","3.918814630750199e-18"
"ZNF445","ZNF445","0.877844821554191","1.1328497228297999e-20","3.918814630750199e-18"
"ZNF561","ZNF561","0.797165871362659","1.20004068917834e-20","4.0491859834335195e-18"
"TFAP4","TFAP4","-0.762435190325367","1.2054788491043401e-20","4.0491859834335195e-18"
"FLNA","FLNA","-0.63981940192933","1.2457133158463898e-20","4.1245567887674e-18"
"LGMN","LGMN","0.8535385067599499","1.41767692171455e-20","4.60208096599783e-18"
"PRPF31","PRPF31","-0.5302395779398429","1.42964934871573e-20","4.60208096599783e-18"
"ZNF266","ZNF266","0.873182619136775","1.48986322747824e-20","4.73021370181688e-18"
"LINC01000","LINC01000","1.2827806983963401","1.6857845931950698e-20","5.27992290763272e-18"
"TBCK","TBCK","1.2637313905051102","2.06000274225126e-20","6.3659578076210006e-18"
"PES1","PES1","-0.750958055905162","2.2312949762798196e-20","6.7421891105440896e-18"
"MLLT6","MLLT6","-0.570567301266829","2.2399299370578398e-20","6.7421891105440896e-18"
"KIF27","KIF27","0.805636798822453","2.5640302287118396e-20","7.60797343044075e-18"
"PSMA3-AS1","PSMA3-AS1","1.11599547846146","2.63829828391644e-20","7.60797343044075e-18"
"JPX","JPX","0.878964578214403","2.6654030046435497e-20","7.60797343044075e-18"
"SURF2","SURF2","-0.626523068802429","2.67572362064437e-20","7.60797343044075e-18"
"LOC100130476","LOC100130476","0.7818701371136519","2.69169358111983e-20","7.60797343044075e-18"
"CD82","CD82","-0.6731083085725379","2.7563558411240797e-20","7.62097825210152e-18"
"TALAM1","TALAM1","3.2244154284085096","2.78943273279308e-20","7.62097825210152e-18"
"CNTRL","CNTRL","1.2325775624131499","2.79493960145243e-20","7.62097825210152e-18"
"USB1","USB1","-0.683071310662967","2.90394234416572e-20","7.73679780051996e-18"
"ATAD3B","ATAD3B","-0.631371401335084","2.9041783174925e-20","7.73679780051996e-18"
"LUCAT1","LUCAT1","0.6814726622622171","2.97379109748674e-20","7.8322223030057e-18"
"TESC","TESC","-0.82075071822339","3.23766696941855e-20","8.43139408429367e-18"
"BNIP3","BNIP3","1.24164646527345","3.8006443493003196e-20","9.7875037870815e-18"
"FTX","FTX","1.14631039372993","4.22031398106935e-20","1.07488150702466e-17"
"AGAP4","AGAP4","0.955753006641603","4.67532590110541e-20","1.17782639576e-17"
"TBC1D32","TBC1D32","0.8361383604905009","4.82005878298211e-20","1.18914364643751e-17"
"STRN4","STRN4","-0.567784407163094","4.8228633026330497e-20","1.18914364643751e-17"
"MIR548H3","MIR548H3","2.81352606897017","5.1592699445153295e-20","1.2469170447637901e-17"
"CCNL1","CCNL1","1.064633140544","5.16477699000405e-20","1.2469170447637901e-17"
"PGBD4","PGBD4","1.44648147503544","5.22643239690107e-20","1.2487940583812e-17"
"RBM12B","RBM12B","1.4583559798453798","5.51746587531003e-20","1.3048806795108201e-17"
"CCDC15","CCDC15","1.41031951267778","5.925490015569379e-20","1.3872230514227401e-17"
"RAB15","RAB15","-0.45280656439443107","6.20434174128328e-20","1.4379802853772303e-17"
"PDK1","PDK1","1.02014243942799","6.29801521206465e-20","1.44523859970319e-17"
"SAMD1","SAMD1","-0.5999358443199879","6.99543938204732e-20","1.58954214272265e-17"
"C20orf194","C20orf194","0.5597721355569361","7.25346631267584e-20","1.6232950702723602e-17"
"ZNF443","ZNF443","0.949664411628238","7.28406123779286e-20","1.6232950702723602e-17"
"PTK2","PTK2","0.35704595067436407","8.02759905900399e-20","1.77195869895748e-17"
"DOP1A","DOP1A","0.727073146548534","8.18269994310915e-20","1.7891550620890596e-17"
"SOS1","SOS1","0.998398433063707","8.339547784501579e-20","1.80618764343279e-17"
"LRRC37A3","LRRC37A3","0.922253150182462","8.41645879495798e-20","1.80618764343279e-17"
"NKTR","NKTR","1.6147649593353102","8.52547200327194e-20","1.8101811468928103e-17"
"GABPB1-AS1","GABPB1-AS1","0.881428216745366","8.5912726478064e-20","1.8101811468928103e-17"
"ZNF490","ZNF490","0.7186819414438091","9.5884003037268e-20","2.0020752598151e-17"
"ZC3H6","ZC3H6","1.0596478003238299","9.761970112591358e-20","2.0201176901743803e-17"
"HIST1H2BJ","HIST1H2BJ","-0.857321240816098","9.873008696374599e-20","2.02501524385729e-17"
"YEATS2","YEATS2","0.762827847105713","1.05908124271784e-19","2.15318648793609e-17"
"DENND4C","DENND4C","1.1736078331179098","1.14981424433599e-19","2.31732562965002e-17"
"ZNF491","ZNF491","0.623709672470457","1.29352043264758e-19","2.56489251507432e-17"
"ZNF383","ZNF383","0.820583917566109","1.2947854522315e-19","2.56489251507432e-17"
"AASDH","AASDH","0.8022471160618541","1.3507413565446e-19","2.65306206954527e-17"
"ATP9B","ATP9B","0.486403260975408","1.37612049402926e-19","2.6799413335828698e-17"
"HACE1","HACE1","0.846287137862531","1.38824861510595e-19","2.6799413335828698e-17"
"FIS1","FIS1","-0.604285878888677","1.39911507685864e-19","2.6799413335828698e-17"
"MTRF1","MTRF1","0.740602245797524","1.51737925798156e-19","2.88264746411792e-17"
"MIR548Q","MIR548Q","2.86420752017039","1.6343805220443098e-19","3.0796778340992695e-17"
"LOC100288069","LOC100288069","0.998537382125207","1.7109086712801098e-19","3.19788147373057e-17"
"HIST1H4D","HIST1H4D","-1.0215254720211702","1.74096761793142e-19","3.2280325184637105e-17"
"NOTCH1","NOTCH1","-0.687768831961883","1.7852779597683697e-19","3.28391962488503e-17"
"MIR548A2","MIR548A2","2.59812822824671","1.89843312594188e-19","3.45742647659956e-17"
"NPIPB13","NPIPB13","1.4440614713523603","1.9209969230789101e-19","3.45742647659956e-17"
"KIF1C","KIF1C","-0.6013141995042","1.9243561094246198e-19","3.45742647659956e-17"
"APAF1","APAF1","0.980833464007072","2.05235782944915e-19","3.6590382625494605e-17"
"MRPS34","MRPS34","-0.776785658307082","2.2170884776643697e-19","3.9225541715135205e-17"
"TSTA3","TSTA3","-0.7982285019117209","2.57831245297835e-19","4.5270869486878094e-17"
"POP7","POP7","-0.798874851386555","2.70912232224055e-19","4.71262225994011e-17"
"ATAD3C","ATAD3C","-0.6430033022746651","2.7246467740948997e-19","4.71262225994011e-17"
"GAS2L1","GAS2L1","-0.6327917471970821","2.75839853510104e-19","4.7327022239272605e-17"
"INTS6","INTS6","0.704877429276798","2.7770958383488197e-19","4.7327022239272605e-17"
"NDUFB10","NDUFB10","-0.7960040712944492","2.82412268683743e-19","4.7438455756924803e-17"
"RIC8B","RIC8B","0.6660013290672979","2.82457043381612e-19","4.7438455756924803e-17"
"NPM3","NPM3","-0.6430892498813361","2.86520388665858e-19","4.77746981878316e-17"
"ITPK1","ITPK1","-0.560888527205513","2.9852630269506196e-19","4.94210294111675e-17"
"SLC37A3","SLC37A3","0.409460379841344","3.17649382699298e-19","5.22138988852598e-17"
"MIR29B2CHG","MIR29B2CHG","0.7283231247211429","3.2907452558287897e-19","5.37109878833407e-17"
"HSD17B11","HSD17B11","1.06230046938094","3.37720651181156e-19","5.47367240029766e-17"
"TEX264","TEX264","-0.8160372557747109","3.5837539146308e-19","5.768101699958189e-17"
"BRMS1","BRMS1","-0.6960457839018591","3.8523551134454496e-19","6.15765754926381e-17"
"PURB","PURB","2.42452522195223","3.9043772912196397e-19","6.198065238260121e-17"
"FNDC3A","FNDC3A","0.998057377617981","4.0202765518247397e-19","6.338636030043671e-17"
"ZNF777","ZNF777","-0.65057675385266","4.1889125164407398e-19","6.55989360767209e-17"
"MYSM1","MYSM1","1.15772796455857","4.46136748418008e-19","6.939672092673941e-17"
"ZC3H4","ZC3H4","-0.48682352072918395","4.51635831263832e-19","6.97837577413456e-17"
"MOSPD2","MOSPD2","0.7174872949298051","4.9464387674707e-19","7.59229213997805e-17"
"GFRA1","GFRA1","0.449031946855274","5.16285531638135e-19","7.816285001176759e-17"
"DIAPH3","DIAPH3","1.58233872108477","5.17974196326057e-19","7.816285001176759e-17"
"USP28","USP28","0.7526361950996929","5.193544851280239e-19","7.816285001176759e-17"
"THAP6","THAP6","0.5529460757211999","5.28095125644852e-19","7.89655530778756e-17"
"HELB","HELB","0.8409139737281071","6.12499963963132e-19","9.09994337485482e-17"
"DDRGK1","DDRGK1","-0.5782276814838161","6.437760366124529e-19","9.50042460927251e-17"
"YAE1","YAE1","0.6830561473968829","6.5437301211106e-19","9.50042460927251e-17"
"SCAPER","SCAPER","0.962821170846083","6.5531309605549e-19","9.50042460927251e-17"
"DNAJB4","DNAJB4","0.8505157903727691","6.5585189519075e-19","9.50042460927251e-17"
"RUFY3","RUFY3","0.8230945699619859","6.609926931149059e-19","9.514240401945329e-17"
"ZNF791","ZNF791","0.681318403441264","6.65015724690488e-19","9.514240401945329e-17"
"USP37","USP37","1.4177950642364299","6.77127246266781e-19","9.628084777132021e-17"
"PEAK1","PEAK1","0.575477611234845","7.17776774687484e-19","1.0107195724639302e-16"
"MYDGF","MYDGF","-0.689639045431177","7.19544071521542e-19","1.0107195724639302e-16"
"GIGYF2","GIGYF2","0.604868281496807","7.251479024883859e-19","1.01245499614297e-16"
"LINC01061","LINC01061","1.5926095911376101","7.30884398945529e-19","1.0143537553509301e-16"
"MIR4472-2","MIR4472-2","1.75697167504951","7.7191811597263e-19","1.0649253674939101e-16"
"ELOB","ELOB","-0.7417707403601099","7.805647869485409e-19","1.0704822524914999e-16"
"ZNF789","ZNF789","0.667400140514619","7.86205510503168e-19","1.07187559511364e-16"
"NEAT1","NEAT1","1.0255979483625601","7.940676096284629e-19","1.07210801841639e-16"
"MIR142","MIR142","1.4827205180345902","7.956274719231099e-19","1.07210801841639e-16"
"USPL1","USPL1","1.40901041087496","8.00686656925547e-19","1.0726887079516401e-16"
"PPP1R9B","PPP1R9B","-0.596196787158345","8.1759923830199e-19","1.08905158311065e-16"
"TUT7","TUT7","1.1894937238963899","8.609581543307309e-19","1.1402529795956202e-16"
