"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"UBE2E1","UBE2E1","-1.32853670108278","8.760463472304929e-16","1.0790262858838e-11"
"MSH2","MSH2","-1.2771752666223402","4.08579280962722e-14","2.51623550180892e-10"
"ENO1","ENO1","-0.997111178652057","5.95616810186181e-13","2.38694085941547e-09"
"MDH1","MDH1","-0.848050126769106","7.751695573322959e-13","2.38694085941547e-09"
"ILF2","ILF2","-1.05770552980879","1.0822278915728402e-12","2.6659601881005398e-09"
"CLTC","CLTC","-0.847347581259703","2.75533820353408e-12","5.55127867242702e-09"
"TM9SF2","TM9SF2","-0.972979309105697","3.15490384890713e-12","5.55127867242702e-09"
"CCNB1","CCNB1","-0.84157315531303","5.68836342493102e-12","8.75794653810941e-09"
"ORC5","ORC5","-0.936611682078366","8.216027116431249e-12","1.0942004833796601e-08"
"GINS4","GINS4","-1.14447583130427","8.88366065908633e-12","1.0942004833796601e-08"
"ACAT1","ACAT1","-0.839453861939162","1.03403238419e-11","1.15783426146075e-08"
"TMED5","TMED5","-0.935583449097946","1.3449144605680002e-11","1.2571412745517901e-08"
"DLD","DLD","-0.9783581777529129","1.3999365114417699e-11","1.2571412745517901e-08"
"IQGAP1","IQGAP1","-0.940298279543815","1.42891758088212e-11","1.2571412745517901e-08"
"SRRM2","SRRM2","1.07444655880202","1.5578787301105902e-11","1.27922615458481e-08"
"RFC3","RFC3","-0.8060436412987528","1.71683071960219e-11","1.32163774833376e-08"
"ACTR2","ACTR2","-0.8816732984412059","3.2258072003751496e-11","2.2508819774124198e-08"
"PAICS","PAICS","-0.989498421919961","3.28942726259833e-11","2.2508819774124198e-08"
"TCF25","TCF25","0.8267279059606379","5.22946587893204e-11","3.39007006477926e-08"
"CD164","CD164","-0.728629249233158","5.93352748228033e-11","3.65416289996234e-08"
"APH1A","APH1A","-1.32263795928658","8.565023923999251e-11","5.02359046056661e-08"
"DARS","DARS","-0.8044605318736852","1.40064223486742e-10","7.84168654857365e-08"
"SLC25A36","SLC25A36","-0.7784801703839591","1.475294168258e-10","7.900520987145111e-08"
"PGK1","PGK1","-0.7765412496133679","1.63368591172524e-10","8.384212239466571e-08"
"MRPS30","MRPS30","-0.9213337240178651","1.91684923491901e-10","9.443932810598971e-08"
"TMEM123","TMEM123","-1.30161992762394","2.19873901057648e-10","1.0416103228180999e-07"
"MAGT1","MAGT1","-0.8012817860863951","2.7000202999097297e-10","1.20931284785743e-07"
"CCT2","CCT2","-0.744297229077322","2.74910771616531e-10","1.20931284785743e-07"
"PRMT1","PRMT1","-0.884228412810518","3.5525025293433897e-10","1.3949595290752699e-07"
"SDCBP","SDCBP","-0.944499632702544","3.56929099801462e-10","1.3949595290752699e-07"
"UGP2","UGP2","-0.760159738993964","3.6006512098972e-10","1.3949595290752699e-07"
"ATP5F1A","ATP5F1A","-0.7296628110291371","3.6241540091263096e-10","1.3949595290752699e-07"
"LDHA","LDHA","-0.638415582936171","3.8325500222169503e-10","1.4304702613226098e-07"
"HAT1","HAT1","-1.14098651187433","4.08441674739634e-10","1.47964003169649e-07"
"MBNL2","MBNL2","-0.967291638409453","4.48559739489781e-10","1.5785458032273199e-07"
"HSPA13","HSPA13","-1.17323875722222","4.90522643027767e-10","1.67826872060361e-07"
"ATP5F1B","ATP5F1B","-0.7864805270347192","5.09136584840618e-10","1.6948744095897e-07"
"ATIC","ATIC","-0.737475658512325","5.442312422901979e-10","1.7640253187600998e-07"
"ITFG1","ITFG1","-0.8371708178617309","5.981045520697531e-10","1.88893686354953e-07"
"HMMR","HMMR","-0.749405785980871","6.23141574508203e-10","1.91880869330438e-07"
"UBN1","UBN1","0.745574720958045","7.12600974116892e-10","2.14075760931653e-07"
"NDUFS1","NDUFS1","-0.807487775805871","7.6569462727355e-10","2.24549064860198e-07"
"ITM2B","ITM2B","-0.9406431123962329","8.60344859604956e-10","2.46438782226843e-07"
"PTPRK","PTPRK","-1.0907950161977098","9.36153723229461e-10","2.57183204571833e-07"
